firstName,lastName,age,phoneNumber,Job,street,city,state,zip,longit,latit
Lisa,Wright,57,(003)313-8447x6272,Telecommunications researcher,1895 Baker Way Apt. 463,New Duane,Michigan,95913,108.886986,-34.757492
Christina,Baker,66,453-807-2504x22408,Nature conservation officer,1862 Palmer Fall,Danielchester,Missouri,37214,-9.201369,-43.4170645
James,Davis,49,789.887.2743,Operations geologist,1846 Heather Lakes Suite 901,Powersville,Florida,18010,-39.925237,54.419886
Scott,Santos,64,4199559367,Transport planner,7161 Herrera Plain Suite 935,Cruzville,Wisconsin,64638,-128.190153,17.6668665
Rodney,Anderson,54,001-262-112-3033x4529,Personal assistant,120 Lauren Lock Suite 128,East Kelsey,New Mexico,12193,-153.389249,-12.9076385
Benjamin,Sullivan,42,001-506-071-6842x268,Claims inspector/assessor,1735 Geoffrey Dale Apt. 279,North Alyssaburgh,Massachusetts,50950,-66.977974,15.229421
Mary,Vazquez,32,(781)542-9305,Prison officer,973 Andrew Union,Knightmouth,Ohio,11297,128.158150,62.946420
Shawn,Davis,78,(714)569-6142,Dealer,445 Robert Mall Apt. 564,Port Lisa,California,71588,-117.097164,-30.259302
Michael,Ayala,79,+1-948-607-7971x1127,Jewellery designer,868 Robinson Dam,West Donald,South Dakota,89684,104.590682,-68.922234
Elizabeth,Harrington,21,029-906-9947x4054,Community arts worker,4646 Blair Views Apt. 929,Katieton,Colorado,16604,8.417274,80.250920
Michael,Little,60,249-588-9454x812,"Chemist, analytical",197 Sutton Island Apt. 898,Hallfurt,Oklahoma,19053,-111.727798,41.2291305
Laura,Dean,39,(090)609-5350,Dance movement psychotherapist,706 Anthony Shore,New Kendra,Arkansas,47805,-141.005868,-1.972577
Tammy,Nichols,21,0439155729,"Accountant, chartered public finance",841 Brent Burg,Lake Timothy,Massachusetts,90598,-4.322606,26.1426655
Raymond,Morgan,32,846-825-6795,Industrial/product designer,567 James Parkway,Ethanton,Vermont,15043,103.290032,79.8731645
Laura,Murphy,19,001-318-175-5081,Secondary school teacher,287 Bailey Port,Waltonfurt,North Carolina,44494,-144.071803,74.6726415
Brandon,Stuart,61,001-250-299-9262x05287,Chief Strategy Officer,869 Miller Point,Kruegerhaven,Indiana,41677,89.664284,56.5055715
Justin,Bennett,22,001-480-838-7384x0532,Logistics and distribution manager,87890 Ford Keys,Anthonyberg,Ohio,01469,-87.886694,-51.4525955
Daniel,Waller,82,313.503.0654,Science writer,0314 Terry Station,West Thomas,Kansas,52259,-153.583958,-40.5105165
David,Vega,47,(932)978-6360,"Sound technician, broadcasting/film/video",9140 Velazquez Drives,West Lisabury,Wisconsin,87797,139.111573,-57.0836055
Samuel,Orr,34,001-341-923-6215x6734,Building control surveyor,939 Lee Locks,North William,Washington,21902,146.001197,-2.6215435
Alex,Walters,32,1267394427,"Librarian, public",186 Billy Lakes Suite 856,Matthewville,Illinois,75944,-116.326991,-85.6642745
Alex,Cunningham,40,116.096.5812x98521,Clinical research associate,3475 Rogers Curve,Lake Michaelhaven,Alabama,69895,-144.284779,-62.2020415
Nicole,Becker,41,090-823-7892x7081,Art therapist,5308 Amy Trafficway,Andersonside,Michigan,27464,24.022715,-63.1436475
Angela,Meadows,41,(231)353-6548,Solicitor,7631 Michelle Spur Apt. 435,West Mariaberg,Rhode Island,61127,140.109508,-63.0023955
Brian,Williams,51,391.601.5743x932,Restaurant manager,74468 Kristen Drive,Cohenmouth,Maine,54034,-99.134173,-5.2408205
Paul,Lopez,65,481-521-7061x59686,Stage manager,9402 Randall Knoll Apt. 478,Ronaldchester,Indiana,01549,-17.227864,54.887868
John,Gutierrez,46,082-651-9406x8620,"Nurse, adult",69033 Ashley Falls,Orozcoview,Kentucky,23964,-22.370690,8.393922
John,Simon,61,505.285.1536x107,Quantity surveyor,11432 David Crossing Apt. 446,Mariamouth,Pennsylvania,22107,-21.797341,6.834150
James,French,77,+1-244-583-0301,IT trainer,059 Tamara Burgs,Port Robertland,North Dakota,17578,-153.848179,42.691975
Alan,Jenkins,80,(184)908-5189,"Scientist, forensic",17873 Martinez Key Apt. 284,East Judithberg,Washington,82989,-56.034828,44.875455
Danny,Hurst,49,(165)635-5138x33711,Insurance claims handler,00356 Jason Overpass,Ballardfurt,Illinois,73319,-121.196555,-84.5581825
James,Torres,61,+1-846-511-9441x58367,Commissioning editor,30595 Hill Route,New Jamestown,California,76291,175.394386,-15.8836575
Jamie,Landry,82,(844)764-6675,"Psychologist, forensic",9158 Mitchell Dale Apt. 383,Lake Stephenstad,Nebraska,08085,69.132462,17.5437365
Brandon,Beck,50,(200)350-9680x0595,"Teacher, adult education",686 Katherine Isle,South Maria,North Carolina,11991,-177.371078,-45.889185
Michael,Dyer,87,333-524-4898,"Civil engineer, consulting",16491 Gregory Coves,Elizabethview,Rhode Island,17850,45.717340,-67.6361585
